xgb_p_healthy,xgb_p_bleached
0.033615246,0.96638477
0.18279457,0.8172055
0.1537154,0.8462846
0.022689471,0.97731054
0.030442968,0.96955705
0.1188247,0.88117534
0.017936585,0.9820634
0.047001306,0.95299864
0.10433004,0.89566994
0.014597618,0.98540235
0.037183776,0.96281624
0.13981998,0.86017996
0.30957878,0.6904213
0.35216427,0.6478357
0.03502865,0.9649713
0.22754763,0.7724524
0.09426369,0.9057363
0.078508735,0.92149127
0.094510406,0.90548956
0.087955646,0.91204435
0.09566861,0.9043313
0.016408749,0.98359126
0.5791967,0.42080325
0.5023649,0.49763513
0.680242,0.31975803
0.5049374,0.4950626
0.03494552,0.9650545
0.03494552,0.9650545
0.03494552,0.9650545
0.73547965,0.26452032
0.6152549,0.38474515
0.6152549,0.38474515
0.34759593,0.65240407
0.34759593,0.65240407
0.6718438,0.32815614
0.2834032,0.7165968
0.6011964,0.3988036
0.680242,0.31975803
0.4313258,0.5686742
0.7536011,0.2463989
0.55100197,0.44899806
0.45701715,0.5429828
0.45701715,0.5429828
0.7520615,0.24793848
0.57800007,0.42199993
0.6354304,0.3645696
0.6354304,0.3645696
0.2834032,0.7165968
0.2834032,0.7165968
0.78725976,0.21274017
0.6268183,0.37318173
0.7809475,0.21905246
0.6152549,0.38474515
0.6152549,0.38474515
0.93240666,0.06759338
0.80376136,0.19623865
0.2964258,0.70357424
0.9365438,0.06345614
0.6570542,0.34294584
0.78725976,0.21274017
0.78725976,0.21274017
0.5572206,0.44277948
0.75006175,0.24993831
0.8134852,0.18651484
0.6570542,0.34294584
0.78725976,0.21274017
0.48872575,0.5112742
0.48872575,0.5112742
0.48872575,0.5112742
0.75006175,0.24993831
0.48752415,0.5124759
0.5306376,0.46936238
0.5306376,0.46936238
0.86411965,0.13588043
0.61976105,0.380239
0.6775477,0.32245234
0.2463049,0.75369513
0.21135247,0.7886475
0.21135247,0.7886475
0.6718438,0.32815614
0.77303255,0.22696748
0.80990833,0.19009161
0.6152549,0.38474515
0.80990833,0.19009161
0.2964258,0.70357424
0.2964258,0.70357424
0.631291,0.36870903
0.21135247,0.7886475
0.2964258,0.70357424
0.2964258,0.70357424
0.2964258,0.70357424
0.2964258,0.70357424
0.2964258,0.70357424
0.2964258,0.70357424
0.7033879,0.29661208
0.8399166,0.1600834
0.61976105,0.380239
0.7449705,0.25502947
0.7930025,0.2069975
0.6460391,0.3539609
0.80376136,0.19623865
0.877458,0.122542046
0.056380022,0.94361997
0.06484719,0.93515277
0.03239455,0.9676054
0.0439193,0.95608073
0.6052244,0.39477563
0.10430331,0.89569676
0.06064485,0.93935513
0.022840228,0.97715974
0.1134023,0.8865977
0.12017549,0.8798245
0.19557105,0.80442894
0.25513726,0.74486274
0.089440025,0.91055995
0.13017064,0.8698293
0.04408365,0.9559164
0.0057155523,0.9942845
0.030965112,0.9690348
0.006074033,0.993926
0.027475324,0.97252464
0.14151216,0.85848784
0.110868596,0.8891315
0.04110147,0.95889854
0.0524358,0.9475642
0.013906229,0.98609376
0.02416639,0.97583354
0.026809689,0.9731903
0.081501886,0.91849816
0.022661991,0.9773381
0.010693975,0.9893061
0.041674312,0.95832574
0.05677527,0.94322467
0.04268248,0.9573176
